1,1,[12:50] 12/5/2016,5,2,2,2,2,3
1,5,[15:34] 12/5/2016,2,2,3
2,2,[18:30] 14/5/2016,4,1,2,3,3
3,3,[11:50] 12/8/2016,5,1,1,2,2,3
34,4,[12:50] 26/12/1255,5,1,1,1,1,7
1,6,[11:12] 5/2/1,10,16,16,16,16,16,16,16,16,16,16
4,7,[11:12] 5/2/1,10,7,7,7,7,7,7,7,7,7,7
1,8,[11:12] 5/2/1,10,16,16,16,16,16,16,16,16,16,16
1,9,[11:12] 5/2/1,10,2,2,2,2,2,2,2,2,2,2
1,10,[11:12] 5/2/1,10,4,4,4,4,4,3,3,3,3,3
1,11,[11:12] 5/2/1,24,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,12,[11:12] 5/2/1,2,16,16
1,13,[11:12] 5/2/1,3,6,6,6
1,1,[11:12] 5/2/1,4,2,2,2,2
10,2,[11:12] 5/2/1,5,1,1,1,1,2
10,2,[11:12] 5/2/1,5,1,1,1,1,2
1,9,[11:12] 5/2/1,10,2,2,2,2,2,2,2,2,2,2
1,1,[11:12] 5/2/1,4,2,2,2,2
1,1,[11:12] 5/2/1,4,2,2,2,2
1,1,[11:12] 5/2/1,4,2,2,2,2
5,3,[11:12] 5/2/1,1,2
5,3,[11:12] 5/2/1,1,2
